mean_score,median_score,std_score,var_score,min_score,max_score,ip_count,is_non_csnp,is_artefact
0.0843786,0.041643664,0.0955067,0.009121529,0.0050326427,0.47031096,198,False,False
0.09051691,0.043163728,0.09845103,0.009692606,0.005033079,0.4228957,202,False,False
0.086046726,0.04253506,0.09442934,0.0089169,0.0050340407,0.4182877,193,False,False
0.07836069,0.035694223,0.09204174,0.008471682,0.005023498,0.4511376,209,False,False
0.084701404,0.045680206,0.09398986,0.008834094,0.0052910214,0.4325127,195,False,False
0.075992994,0.030331776,0.090549335,0.008199182,0.005013931,0.41268852,204,False,False
0.08326655,0.036019884,0.10861699,0.011797651,0.0050013466,0.52766865,208,False,False
0.07985504,0.029318735,0.10675463,0.0113965515,0.005005145,0.63115865,208,False,False
0.08645042,0.036096785,0.09993034,0.009986073,0.005049818,0.49935257,216,False,False
0.07731057,0.033573516,0.09468413,0.008965084,0.0050016544,0.49431118,217,False,False
0.07960934,0.03419344,0.09708101,0.009424723,0.005008044,0.56683946,217,False,False
0.07672284,0.034803074,0.0915358,0.008378802,0.0050060716,0.45418322,218,False,False
0.086695194,0.03635419,0.09814329,0.009632105,0.0050151707,0.46193954,197,False,False
0.08574115,0.036305383,0.1038225,0.010779111,0.005066316,0.5368783,226,False,False
0.08963187,0.042371668,0.10125202,0.010251972,0.0050302497,0.4053936,217,False,False
0.079559416,0.0350493,0.098347016,0.009672135,0.005070463,0.5987763,215,False,False
0.07702171,0.032777198,0.09383058,0.008804178,0.005130305,0.43210945,213,False,False
0.06531207,0.028945968,0.07556728,0.0057104146,0.005044899,0.35551423,223,False,False
0.08101698,0.03247022,0.10112762,0.010226795,0.005008702,0.49796247,227,False,False
0.07947228,0.039467726,0.09775315,0.009555679,0.0051342202,0.5197723,207,False,False
0.08070433,0.040825438,0.09746455,0.0094993375,0.0051119816,0.5081692,212,False,False
0.08583876,0.040857077,0.097261176,0.009459736,0.0050040693,0.45336813,210,False,False
0.07483282,0.03632175,0.084617764,0.0071601663,0.005041353,0.44585413,204,False,False
0.096000805,0.05715552,0.105898984,0.011214595,0.00510246,0.5000021,202,False,False
0.079255305,0.032256644,0.09494789,0.009015102,0.0050368453,0.45942283,212,False,False
0.087487034,0.034445412,0.09972717,0.009945508,0.0050103674,0.56035984,213,False,False
0.09043846,0.042877316,0.100316785,0.010063457,0.005307855,0.4507665,200,False,False
0.09077761,0.044333108,0.10116801,0.010234966,0.005004508,0.48546237,200,False,False
0.07813071,0.03326403,0.09006234,0.008111225,0.005023203,0.3952115,222,False,False
0.09792253,0.04147382,0.10451642,0.010923681,0.005036073,0.44769958,211,False,False
0.0881852,0.033218883,0.10358819,0.010730513,0.0051745577,0.4685095,222,False,False
0.087752126,0.039660767,0.09926765,0.009854066,0.0050578355,0.45755962,212,False,False
0.07682719,0.040975697,0.09021482,0.008138713,0.0050862837,0.5661071,226,False,False
0.09055486,0.034999374,0.10387767,0.010790571,0.0050219116,0.49818715,229,False,False
0.08317992,0.03701165,0.095264636,0.009075351,0.0051006516,0.40560228,232,False,False
0.086236596,0.03959983,0.100551814,0.010110668,0.0050607603,0.45961052,220,False,False
0.08182046,0.03558045,0.09478558,0.008984306,0.0050153513,0.5651877,223,False,False
0.09248656,0.043848686,0.10028854,0.010057791,0.005183398,0.49069908,221,False,False
0.08958949,0.038627826,0.10541379,0.011112067,0.0051217633,0.556731,230,False,False
0.08746782,0.03358601,0.10095185,0.010191277,0.0052576438,0.4980614,226,False,False
0.08760696,0.036754936,0.10650701,0.011343744,0.005000378,0.51884925,222,False,False
0.080132656,0.036783565,0.09671159,0.009353132,0.005104785,0.5662696,229,False,False
0.08677933,0.040547006,0.09946579,0.009893443,0.0055380794,0.48200467,231,False,False
0.07998425,0.040009152,0.09514321,0.009052229,0.0050613233,0.5618127,233,False,False
0.076359265,0.033757746,0.0898982,0.008081686,0.0050013456,0.51594114,214,False,False
0.0803658,0.039263874,0.09389878,0.008816981,0.0050519267,0.48817775,231,False,False
0.081414014,0.035646398,0.09485953,0.008998331,0.005031386,0.44171607,234,False,False
0.07311859,0.03460122,0.093436755,0.008730427,0.005015849,0.44517657,230,False,False
0.07950684,0.039912403,0.08711778,0.007589509,0.0051039243,0.4288459,211,False,False
0.09134467,0.04491429,0.100862876,0.01017332,0.0050010434,0.41982847,201,False,False
0.07682736,0.037034884,0.08784459,0.007716672,0.0050290693,0.41751754,220,False,False
0.08430666,0.042239726,0.09788114,0.009580717,0.0050343326,0.6111991,213,False,False
0.088003166,0.03504888,0.11520295,0.01327172,0.005251004,0.5779743,237,False,False
0.080214195,0.03775937,0.0919897,0.008462105,0.0050422074,0.53116375,205,False,False
0.08534651,0.050836094,0.09080651,0.008245821,0.0050970186,0.45636114,202,False,False
0.09525507,0.050931815,0.10115527,0.01023239,0.0050490526,0.4372923,218,False,False
0.09489295,0.047424063,0.10891304,0.011862051,0.005104682,0.48069987,214,False,False
0.08628926,0.04051446,0.09941587,0.009883515,0.005028874,0.49355894,247,False,False
0.07542595,0.029958183,0.08893031,0.007908599,0.0050636423,0.41459948,243,False,False
0.08690044,0.037750706,0.10301023,0.010611108,0.005249029,0.50680405,219,False,False
0.071254715,0.03530535,0.08410408,0.007073497,0.0051250607,0.5093615,212,False,False
0.08630155,0.043827645,0.09873315,0.009748235,0.005006202,0.63038075,208,False,False
0.08982785,0.045252554,0.10053338,0.010106961,0.0051010842,0.39279622,202,False,False
0.07701476,0.032876622,0.09615037,0.009244893,0.0050593084,0.5222296,219,False,False
0.07901443,0.033769738,0.096414275,0.009295713,0.005085755,0.5330815,214,False,False
0.072197005,0.035086647,0.085869215,0.0073735216,0.00516791,0.47311932,240,False,False
0.0871665,0.040662006,0.10174393,0.010351827,0.0051608416,0.5800473,234,False,False
0.08229489,0.0360642,0.09812536,0.0096285865,0.0050554965,0.49519703,216,False,False
0.07845243,0.032895878,0.09784561,0.009573762,0.005047128,0.41951555,230,False,False
0.09050187,0.04707616,0.10293474,0.010595561,0.005163691,0.49406913,213,False,False
0.06841207,0.02828762,0.0891783,0.007952769,0.005076821,0.4430533,224,False,False
0.08098584,0.034606647,0.09311738,0.008670846,0.0050472803,0.48385736,237,False,False
0.08396109,0.032715224,0.10240182,0.010486133,0.0050133658,0.5206866,222,False,False
0.07889567,0.03651268,0.08867822,0.007863826,0.005032019,0.36492866,222,False,False
0.08670941,0.03965947,0.09839076,0.0096807415,0.005001964,0.5190626,230,False,False
0.08124206,0.03403235,0.09559826,0.009139027,0.0050239833,0.47655028,229,False,False
0.07902465,0.030933723,0.0907625,0.008237832,0.005077693,0.37849817,215,False,False
0.07355971,0.037255693,0.08660443,0.0075003277,0.00500282,0.4833527,217,False,False
