mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,ip_count
0.11695428,0.05445961,0.13327451,0.017762095,0.005002307,0.5469058,1.3431456354538838,1.06664294673263,226
0.12048587,0.07854543,0.12516119,0.015665323,0.0050294492,0.61370134,1.2104536059873527,0.8455002770703617,219
0.13294499,0.08530105,0.13582395,0.018448144,0.005018893,0.6314564,1.2669671725195577,1.0346170004061088,216
0.10671469,0.049402617,0.11617426,0.0134964585,0.0050431844,0.5404713,1.2668813698549624,0.9389984483671254,239
0.11895092,0.07627318,0.11878269,0.014109328,0.0051456294,0.4800482,1.0082568273734964,0.0816116861386802,243
0.11853955,0.06621055,0.12555876,0.015765002,0.00508818,0.61312926,1.276140377521687,1.198673080184328,244
0.118400104,0.07068013,0.12491541,0.01560386,0.005013043,0.6083388,1.379935672520012,1.3565734581500388,219
0.11658815,0.06325256,0.1170079,0.013690847,0.005220694,0.46401438,0.9666495986195137,-0.12157214347769729,217
0.11209264,0.059482057,0.121243455,0.014699975,0.0050867065,0.5477396,1.1993258862589227,0.614023019233926,235
0.118704975,0.0725359,0.12211042,0.014910954,0.005019725,0.5086915,1.1289686930019756,0.3401400789365785,214
0.11261879,0.062975205,0.12243797,0.014991057,0.0050129173,0.5555998,1.3314008456939601,1.147894861380669,223
0.10924106,0.054497823,0.1240738,0.01539431,0.0050053857,0.5506493,1.4131900141851863,1.3393181665338352,252
0.1244272,0.061654422,0.1318547,0.01738566,0.0051655397,0.64015514,1.1731879201872994,0.5468876570581447,253
0.116060324,0.061771475,0.130581,0.017051399,0.005030222,0.59602356,1.375536725079907,1.2385133958345254,282
0.12682068,0.07482098,0.12658007,0.016022515,0.005049975,0.5037156,0.9700955373379556,-0.1447193996840328,254
0.12148921,0.0766903,0.12792829,0.016365645,0.005053299,0.6025093,1.2869444898421993,1.1048897788966494,271
0.12032923,0.074489325,0.123886675,0.015347907,0.0050212643,0.54982585,1.005199960705342,0.10144847189167638,266
0.12474588,0.07044672,0.13491903,0.018203147,0.0050643785,0.7424424,1.3450791063991794,1.594064933196715,273
0.1214433,0.07284728,0.12689942,0.016103463,0.0052731885,0.60765207,1.2284394915183363,0.8727358567865813,267
0.13307358,0.090961166,0.1387245,0.01924449,0.0051435623,0.6773196,1.2980657251595262,1.135605881949532,243
0.1374407,0.088781685,0.13743696,0.018888915,0.0051018107,0.52181923,0.8986508136905387,-0.30030496627615566,252
0.12933856,0.088142954,0.1294028,0.016745085,0.00511515,0.73076105,1.1749328366346996,1.4205679167154504,249
0.11803052,0.07059457,0.11906063,0.014175433,0.0051439614,0.54752874,1.1026369242583793,0.6163093156257315,260
0.11828,0.07100623,0.121575005,0.014780481,0.0050314767,0.5211247,1.0439010077453175,0.33306654948930836,252
0.12295124,0.0667266,0.12940921,0.016746745,0.0050511225,0.5723903,1.0374859778917387,0.032694922204024035,256
0.13207735,0.08485608,0.13205962,0.017439744,0.0050248625,0.6110748,0.9880893121887832,0.15456906429478812,248
0.13037299,0.06256625,0.1424928,0.020304197,0.0050434694,0.54423815,1.1106875482302416,0.15140626412368619,263
0.13398914,0.08581,0.13905032,0.019334992,0.0051879706,0.6024728,1.0615770142344787,0.2665794955038119,267
0.1308214,0.09234141,0.13079403,0.017107079,0.0050512953,0.4810294,0.9130277623074933,-0.30063548503254456,251
0.12926616,0.07524356,0.13618667,0.018546809,0.005053113,0.587163,1.2369197520107083,0.8184839221628639,256
0.11104731,0.051571812,0.11806215,0.013938673,0.005094907,0.46046674,1.0353082961680442,-0.04969238177642277,262
0.10924289,0.06445733,0.117154695,0.013725222,0.0051730494,0.6021066,1.525097494153322,2.2174227997848446,242
0.10655199,0.055659883,0.11954027,0.014289875,0.0050080516,0.596491,1.4954935316869467,1.957723236253245,215
0.12259312,0.07567456,0.12808809,0.016406557,0.0050749667,0.5239628,1.139696259530042,0.34335728560147416,207
0.11559471,0.053494096,0.12246732,0.014998244,0.0050274236,0.51249945,1.0295933510559676,0.07416255447810993,191
0.10833093,0.049439542,0.12104884,0.014652821,0.0053301468,0.62796956,1.3885837818455593,1.636706274820174,201
0.10154926,0.05410312,0.11141597,0.012413518,0.00514376,0.50695246,1.3665173982414685,1.3276922333595982,210
0.10662037,0.06196428,0.12124953,0.014701447,0.0051128636,0.5456295,1.3787776463528643,1.277196874532069,219
