mean_score,median_score,std_score,var_score,min_score,max_score,ip_count
0.13107993,0.08421518,0.12823702,0.016444735,0.005006198,0.4649127,162
0.11090983,0.052628055,0.12843025,0.01649433,0.005022388,0.54097134,188
0.1219693,0.058789097,0.13539888,0.018332856,0.005163292,0.5949813,181
0.12068286,0.05814856,0.1335165,0.017826656,0.005119057,0.5669487,155
0.13226184,0.07229034,0.13867931,0.01923195,0.0051028985,0.55397886,139
0.11545152,0.051919468,0.1269956,0.016127883,0.0051001464,0.5144817,145
0.11645224,0.051852338,0.14356779,0.02061171,0.0050598946,0.5585237,131
0.10057766,0.029557481,0.1286439,0.016549252,0.005320665,0.55772495,132
0.11638756,0.05045111,0.13368931,0.017872833,0.0050287154,0.63810444,193
0.113327526,0.05779575,0.12567581,0.015794411,0.0050628576,0.5845716,221
0.11158187,0.04892961,0.12677883,0.016072871,0.0050333487,0.60373443,222
0.12325233,0.05914441,0.14155073,0.02003661,0.005231659,0.62476915,205
0.100503616,0.050908443,0.11447477,0.013104474,0.005097856,0.5142219,258
0.12723468,0.08493808,0.12924434,0.016704101,0.0050123865,0.5476636,228
0.12899448,0.07362305,0.13214548,0.017462429,0.0050251926,0.6040475,216
0.12137456,0.07268228,0.12458731,0.015521998,0.0050945524,0.56337357,202
0.11727809,0.05604444,0.12711264,0.016157625,0.005058825,0.5604934,199
0.11839955,0.070149116,0.1284943,0.016510786,0.0050414,0.57092834,177
0.10939812,0.06544083,0.11861292,0.014069025,0.005410846,0.54009145,198
0.12104104,0.070571214,0.12248057,0.01500149,0.005331531,0.53798,232
0.12511502,0.0820225,0.12949345,0.016768554,0.005123136,0.57396823,246
0.12042708,0.08052744,0.12070274,0.014569153,0.005022094,0.5756666,236
0.12349433,0.06714503,0.12948528,0.016766436,0.0051036477,0.5303228,225
0.12959342,0.07559033,0.13449271,0.018088289,0.0051643644,0.5754129,222
0.124907196,0.07756764,0.12694858,0.016115943,0.0050357976,0.5913597,228
0.1314109,0.08240898,0.13366447,0.017866192,0.005261677,0.5804075,228
0.1319871,0.065259665,0.13839634,0.019153547,0.0050745616,0.6597495,219
0.12026032,0.04503785,0.13762556,0.018940795,0.005143508,0.6169121,208
0.110636555,0.058096174,0.12402037,0.015381052,0.0050468417,0.52764326,168
0.12394124,0.057020117,0.13400844,0.017958263,0.005003806,0.5407309,163
0.09548066,0.043411683,0.110841185,0.012285768,0.0053114207,0.44267944,151
0.087803386,0.030614395,0.11446636,0.013102547,0.005134745,0.60430515,162
0.102231644,0.046245493,0.115925305,0.013438676,0.0050239298,0.47115883,175
0.108702786,0.043889295,0.12000739,0.014401773,0.005041022,0.52244365,157
0.09967189,0.045741133,0.11334678,0.012847492,0.005094254,0.5109566,172
0.120345086,0.07670064,0.12007917,0.014419006,0.0060780514,0.4914236,171
0.11600603,0.06116794,0.121244535,0.014700237,0.0054877186,0.4467154,179
0.116522476,0.05947327,0.13021997,0.01695724,0.0052974955,0.57460326,164
0.11564458,0.06164111,0.12082905,0.01459966,0.0050426885,0.5099412,179
0.11514934,0.049603812,0.1332048,0.01774352,0.005059758,0.48394775,193
0.12035028,0.07264669,0.12243314,0.014989874,0.005181763,0.480468,180
0.11562052,0.05710827,0.12700379,0.016129963,0.0050763017,0.49788457,172
0.12632415,0.060787328,0.13929816,0.019403975,0.005088655,0.5376637,152
0.13153301,0.06528493,0.13864486,0.019222395,0.0050615375,0.6081675,147
0.12343402,0.049430337,0.13062909,0.01706396,0.005122372,0.5651651,135
0.11974268,0.04512492,0.13975762,0.019532192,0.0055174204,0.45585966,136
0.09727912,0.035560373,0.12185696,0.014849119,0.0050486033,0.5173974,149
0.115806974,0.06242752,0.12519637,0.015674131,0.005017972,0.5181355,168
0.0930899,0.029136758,0.12239647,0.014980896,0.005197774,0.54353535,155
0.11203303,0.044773687,0.13619198,0.018548254,0.005004651,0.6279189,165
0.124599844,0.05911176,0.13906033,0.019337777,0.00502815,0.5832136,205
0.1197362,0.07505251,0.11748139,0.013801876,0.0050803022,0.462119,214
0.11606606,0.0538923,0.1283159,0.016464967,0.005047638,0.5093566,230
0.12228516,0.068852685,0.1253091,0.015702369,0.005217642,0.5363786,212
0.13158646,0.08090758,0.12776752,0.01632454,0.005007089,0.46458948,190
0.112268955,0.04913083,0.12975304,0.016835852,0.005008773,0.6612539,214
0.12305567,0.08514647,0.11482531,0.013184851,0.0050513297,0.5271514,172
0.12175351,0.07462524,0.1232204,0.015183267,0.005006464,0.5255411,186
0.12575713,0.09307196,0.12383225,0.015334426,0.0051376964,0.48311034,210
0.11523467,0.06638999,0.12307908,0.01514846,0.005081103,0.5220063,220
0.13374233,0.08396502,0.13089743,0.01713414,0.0051210457,0.50669533,206
0.12109788,0.07126399,0.12064751,0.014555823,0.0052237725,0.5713704,208
0.11826225,0.06257451,0.12365041,0.015289423,0.0051122904,0.5229144,220
0.12606701,0.072383516,0.1339816,0.017951068,0.005028067,0.5404127,208
0.12387802,0.08131263,0.12377022,0.015319068,0.005076659,0.5414294,222
0.123617224,0.08065264,0.12527095,0.015692811,0.0050123585,0.49207783,255
0.12949175,0.06382642,0.13766356,0.018951254,0.0052480493,0.59693754,235
0.13377611,0.081546806,0.13856043,0.019198991,0.0050139087,0.5722483,205
0.12814014,0.06268892,0.13835116,0.01914104,0.0050463667,0.52016294,194
0.11210332,0.055083226,0.12979709,0.016847285,0.0050064786,0.49885282,145
0.09720822,0.043028057,0.11925581,0.014221948,0.005077087,0.54939836,147
0.09301745,0.046225674,0.10958018,0.012007817,0.0051219612,0.49907494,152
0.10258704,0.05593789,0.110996895,0.01232031,0.0051202737,0.45383617,151
0.10621101,0.05666527,0.11950914,0.014282433,0.005101073,0.58660823,159
0.11523141,0.056608602,0.1372838,0.018846842,0.005255334,0.6275795,168
0.11022096,0.064671226,0.11629067,0.01352352,0.0050203707,0.5491739,174
0.10504623,0.059641313,0.11639327,0.013547393,0.0051257634,0.5244633,180
0.086384565,0.026514977,0.1046363,0.010948754,0.005072363,0.5137172,156
0.09622678,0.036170058,0.11855,0.014054104,0.005072613,0.4985734,135
0.107914284,0.07228065,0.1142318,0.013048905,0.0050195153,0.43048167,123
0.1185297,0.064925626,0.12888531,0.016611423,0.00502769,0.6106248,146
