mean_score,median_score,std_score,var_score,min_score,max_score,ip_count,is_non_csnp,is_artefact
0.09109138,0.031426437,0.11107292,0.012337193,0.005045691,0.51236826,241,False,False
0.085412644,0.03357991,0.103471056,0.010706259,0.0050423117,0.4487553,250,False,False
0.10331136,0.051981386,0.11701611,0.013692769,0.005202694,0.58932483,247,False,False
0.10858563,0.060378723,0.11630656,0.013527215,0.0050029205,0.45690045,244,False,False
0.098178685,0.04146809,0.1171048,0.013713533,0.005117177,0.59232616,237,False,False
0.10776211,0.046959292,0.12219586,0.014931829,0.005182447,0.5162869,229,False,False
0.09645088,0.04260312,0.11406197,0.013010132,0.0051738094,0.64750874,252,False,False
0.08734129,0.03741598,0.1047499,0.010972542,0.0050238348,0.5769919,256,False,False
0.09493616,0.04918887,0.10990912,0.012080014,0.005066348,0.59690934,239,False,False
0.10816738,0.055367213,0.119208485,0.014210663,0.0052815545,0.6414462,223,False,False
0.09384614,0.04063027,0.11270228,0.012701804,0.0050535877,0.6698657,227,False,True
0.11252275,0.054059725,0.12561026,0.015777936,0.0050238883,0.61872864,196,False,False
0.10312196,0.057623804,0.11634928,0.0135371545,0.0051517724,0.5662943,208,False,False
0.10094407,0.049796853,0.11712797,0.013718962,0.005003379,0.7316709,223,False,False
0.088488184,0.037956692,0.10548008,0.011126047,0.0050085015,0.4834549,238,False,False
0.09997491,0.046536583,0.11178375,0.012495606,0.0051711253,0.61508566,229,False,False
0.097082675,0.042914882,0.11473818,0.013164851,0.0050403336,0.52988416,232,False,False
0.09089933,0.044736885,0.10897953,0.011876537,0.005185262,0.6612396,231,False,False
0.0944873,0.046325825,0.11112637,0.01234907,0.005014525,0.5260621,219,False,False
0.09366686,0.04338405,0.112024784,0.012549552,0.0050896327,0.48664972,224,False,False
0.09436221,0.049084768,0.10764344,0.01158711,0.005186882,0.4866687,218,False,False
0.087070405,0.04977866,0.095852524,0.009187707,0.005060889,0.4629895,215,False,False
0.09141304,0.0389248,0.108633816,0.011801305,0.0050168224,0.58392733,223,False,False
0.091478854,0.042021897,0.11270962,0.012703459,0.00502055,0.5622466,203,False,False
0.09627278,0.04476295,0.11491551,0.013205576,0.0051506143,0.51238596,217,False,False
0.09295507,0.041877728,0.10533309,0.01109506,0.0050263708,0.518576,219,False,False
0.1052484,0.050333183,0.120307386,0.014473868,0.005100761,0.53980887,211,False,False
0.0990307,0.057176754,0.10770774,0.011600956,0.0051384773,0.46086916,204,False,False
0.09993247,0.05061487,0.111999534,0.012543896,0.005201909,0.60713524,200,False,False
0.085871,0.040428627,0.103832625,0.010781214,0.005057735,0.54005766,229,False,False
0.08702203,0.04625442,0.09897089,0.009795237,0.0051646726,0.4174776,205,False,False
0.07469607,0.031350005,0.088770516,0.007880204,0.0050090174,0.4897196,214,False,False
0.08485409,0.035525866,0.104828,0.01098891,0.005149238,0.5245466,216,False,False
0.08978366,0.038583066,0.105815075,0.01119683,0.005047799,0.48522547,207,False,False
0.08192577,0.033940732,0.09634675,0.009282696,0.0050229547,0.46407148,224,False,False
0.07988888,0.032723922,0.0902141,0.008138585,0.005020576,0.46954715,233,False,False
0.087123156,0.050582003,0.099314705,0.009863411,0.005070283,0.4852789,214,False,False
0.082897685,0.044302106,0.0963518,0.00928367,0.0050348407,0.53159344,243,False,False
