,index,mean_score,median_score,std_score,var_score,min_score,max_score,ip_count
312,312,0.094436824,0.04043092,0.11305861,0.01278225,0.005222897,0.53093606,225
313,313,0.091746114,0.04130753,0.11835873,0.014008789,0.00504877,0.52095544,209
314,314,0.08464834,0.04067246,0.1038693,0.010788831,0.005019359,0.516636,190
315,315,0.103473604,0.048150305,0.11786269,0.013891612,0.005107076,0.4732562,169
316,316,0.081227824,0.03100673,0.10680834,0.011408023,0.00503642,0.5927387,189
317,317,0.085374355,0.036013644,0.10407685,0.01083199,0.0050002625,0.42546508,177
318,318,0.09623764,0.043028157,0.11056449,0.012224507,0.005304948,0.60269153,145
319,319,0.07322816,0.0295684,0.09219171,0.008499312,0.00515229,0.4523529,126
320,320,0.072100036,0.026282258,0.09303467,0.008655449,0.005034005,0.38765064,118
321,321,0.084407195,0.04264176,0.09123094,0.008323084,0.005244968,0.39131522,91
322,322,0.07385592,0.032257017,0.09363465,0.008767447,0.005185088,0.4422817,120
323,323,0.07820822,0.03959985,0.08798577,0.007741495,0.0050326986,0.41655695,113
324,324,0.07662524,0.03037162,0.08884047,0.007892629,0.0050854334,0.41694623,121
325,325,0.07486896,0.04621687,0.08278076,0.0068526543,0.0050249277,0.36932042,107
