mean_score,median_score,std_score,var_score,min_score,max_score,ip_count,is_non_csnp,is_artefact
0.1332531,0.08412027,0.13343795,0.017805684,0.0050074994,0.53957236,265,False,False
0.1315949,0.07056697,0.13670287,0.018687675,0.00502445,0.48759535,279,False,False
0.123177506,0.06205027,0.13660008,0.018659582,0.0050642164,0.6671033,291,False,False
0.13297157,0.0727946,0.13708039,0.018791033,0.0051553478,0.5739321,290,False,False
0.13536082,0.08495698,0.13364768,0.017861702,0.0050247395,0.5810067,278,False,False
0.12649637,0.05739328,0.13551293,0.018363753,0.005093897,0.6077331,272,False,False
0.11861143,0.0655536,0.1275024,0.01625686,0.005030702,0.57255775,266,False,True
0.12299183,0.07522769,0.1290237,0.016647117,0.0050514136,0.62096304,288,False,False
0.124923475,0.07176346,0.13206929,0.017442295,0.0050066723,0.61028624,297,False,False
0.11688501,0.064523116,0.12461706,0.015529412,0.0050002444,0.5918054,304,False,False
0.1325507,0.07540935,0.13664882,0.0186729,0.0050279847,0.5994297,280,False,False
0.12609725,0.065159604,0.13298008,0.0176837,0.0053749904,0.50512135,260,False,False
0.12804168,0.07111898,0.13375774,0.017891135,0.0051824106,0.576885,274,False,False
0.12071195,0.061447054,0.1285812,0.016533125,0.005026507,0.5596202,265,False,False
0.14002733,0.08598376,0.14771529,0.021819808,0.005322985,0.68227065,266,False,False
0.13193275,0.07249068,0.1380728,0.0190641,0.0050170813,0.61140263,268,False,False
0.14753988,0.09120292,0.15048885,0.022646893,0.005060151,0.6573047,259,False,False
0.13124678,0.088400364,0.13037445,0.016997496,0.005185907,0.6255819,258,False,False
0.14001521,0.075735845,0.15177353,0.023035202,0.0051276158,0.7126121,283,False,False
0.14264342,0.08886653,0.14821845,0.02196871,0.005021301,0.6742575,304,False,False
0.13230722,0.079048224,0.13566355,0.0184046,0.0050306395,0.59201527,298,False,False
0.14672461,0.10050321,0.14788026,0.02186857,0.0053823595,0.6820301,279,False,False
