mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,ip_count,is_non_csnp,is_artefact,dataset
0.11190065,0.06779361,0.11583266,0.013417204,0.0050181174,0.49835005,1.1624358100467684,0.538374667315864,214,False,False,EGT6_001_A_2
0.10930735,0.05175151,0.12307125,0.015146533,0.0050315834,0.51382667,1.2311064604922155,0.4770528576571018,230,False,False,EGT6_001_A_2
0.10963776,0.053556688,0.12179525,0.014834084,0.005023858,0.6461358,1.5226425481741093,2.222597848789391,217,False,False,EGT6_001_A_2
0.11614073,0.059167154,0.12176138,0.014825835,0.0051427768,0.5480936,1.1818516702917938,0.6936077975236357,203,False,False,EGT6_001_A_2
0.11923902,0.07294609,0.12939362,0.01674271,0.0050031175,0.57207394,1.3613373012368415,1.175015315928948,207,False,False,EGT6_001_A_2
0.0999591,0.045632165,0.11170237,0.012477418,0.005039463,0.4305964,1.2339253353510975,0.5069473750992652,208,False,False,EGT6_001_A_2
0.11161092,0.053239256,0.12577502,0.015819356,0.005022515,0.56469965,1.3721639993605352,1.1157608283945797,218,False,False,EGT6_001_A_2
0.115558036,0.050322577,0.13180614,0.017372856,0.005002042,0.61841863,1.4067184074583854,1.443907480048134,202,False,False,EGT6_001_A_2
0.12234515,0.06334808,0.13258894,0.017579826,0.00513995,0.5937171,1.293810253730595,1.044800423214962,212,False,False,EGT6_001_A_2
0.1021707,0.046833865,0.11881273,0.014116465,0.005085991,0.5865057,1.5888394417264295,2.315796614384375,208,False,False,EGT6_001_A_2
0.11459641,0.059627462,0.1178086,0.013878866,0.005067507,0.4701434,1.0224415110136114,0.0127111132757957,180,False,False,EGT6_001_A_2
0.11892116,0.060498603,0.12457756,0.015519569,0.00508013,0.53345597,1.0536974150795788,0.1253897158761541,210,False,False,EGT6_001_A_2
0.112387836,0.045061886,0.12945427,0.016758408,0.0050796657,0.5654154,1.2772551147749902,0.7680694774892589,202,False,False,EGT6_001_A_2
0.12688757,0.08058656,0.12628978,0.01594911,0.005015476,0.4973803,1.0513306497992814,0.1526198092074091,170,False,False,EGT6_001_A_2
0.10640214,0.052351538,0.12003471,0.014408331,0.0050158133,0.5980166,1.5588880478005085,2.0630029745126155,200,False,False,EGT6_001_A_2
0.11511553,0.062325016,0.124569684,0.0155176055,0.005082266,0.4993383,1.254367949327989,0.6937631123724395,175,False,False,EGT6_001_A_2
0.11525438,0.06066969,0.118586294,0.014062709,0.005041957,0.5369023,1.120249655888403,0.4462380368418484,176,False,False,EGT6_001_A_2
0.11111632,0.046905477,0.1273548,0.016219245,0.005041323,0.47395954,1.2460804664086786,0.3909413883160422,197,False,False,EGT6_001_A_2
0.11456023,0.046981145,0.13478899,0.018168073,0.005014761,0.5416642,1.313683511223146,0.7982665945502694,195,False,False,EGT6_001_A_2
0.11458969,0.057745658,0.12402528,0.01538227,0.005138975,0.44579393,1.0799125976576818,-0.0040615222372735,195,False,False,EGT6_001_A_2
