mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,mean_score_log,median_score_log,std_score_log,var_score_log,min_score_log,max_score_log,skew_score_log,kurtosis_score_log,transform_inlier_ratio,valid_count,has_artefact,has_non_csnp
0.005581242,1.3369096e-07,0.044208005,0.0019543476,3.5000000000000003e-44,0.9960511,13.261109087170963,212.9989839423989,-18.399597,-15.827735,11.428179,130.60327,-100.06059,-0.0039567947,-1.4477995052598829,3.0998268240534577,0.4285714285714285,14,False,False
0.005438096,1.6879643e-08,0.044826325,0.0020093995,8.738371000000001e-39,0.9968455,13.747774795040218,226.90932487485105,-20.552624,-17.897158,12.531938,157.04945,-87.633095,-0.003159523,-1.0464870775712083,1.0441075467562009,0.5,20,False,False
0.0051720254,1.6470675e-08,0.05110483,0.0026117037,0.0,0.9983787,14.581648730349029,237.643607965773,-20.352808,-17.921684,12.008718,144.20929,-121.4852,-0.0016226768,-1.4840380678664609,4.072821631884797,0.3947368421052631,38,False,False
0.0055227866,8.757361e-09,0.050412204,0.0025413905,0.0,0.9972981,14.08559238847906,228.80368534945444,-21.250643,-18.553371,13.137843,172.60292,-115.08562,-0.002705574,-1.492984416536739,3.734350830170365,0.6333333333333333,30,False,False
0.006753,2.1675118e-07,0.048338648,0.002336625,1.7983637e-35,0.95440817,11.5768249860249,157.065862763618,-17.34391,-15.344516,10.122403,102.46305,-80.0036,-0.04666376,-1.055611175258964,1.4157800637926543,0.2,10,False,False
0.0067512584,1.739718e-08,0.053277526,0.002838495,1.1502e-41,0.998301,12.358002556263871,176.93274876492583,-21.224049,-17.866959,13.950943,194.6288,-94.26602,-0.0017004013,-1.3310914264160056,2.1673024931509923,0.4761904761904761,21,False,False
0.006393818,6.694421e-08,0.049314443,0.0024319144,0.0,0.9977762,13.033029497573596,202.93506863162503,-19.297482,-16.519405,12.814002,164.19865,-131.67633,-0.0022263527,-1.8408551074145052,5.959346050979642,0.6818181818181818,22,False,False
0.005989108,3.6118617e-08,0.05035974,0.0025361034,0.0,0.99699146,13.484429053326204,212.40156796642623,-20.785358,-17.136457,14.430938,208.25197,-115.97199,-0.003013134,-1.840716084186148,4.856394819272262,0.6071428571428571,28,False,False
0.0053188237,8.426262e-09,0.053662464,0.00287966,0.0,0.9990468,14.402105518239292,227.25160752076016,-22.868912,-18.591913,17.258972,297.8721,-200.40858,-0.0009536743,-2.6183366965258825,11.231978752293385,0.68,50,False,False
0.00461544,1.3074841e-09,0.052774817,0.0027851814,0.0,0.9986196,15.32315733505173,253.0792531223108,-23.637852,-20.455162,14.39442,207.19931,-131.586,-0.0013813972,-1.538857788075266,3.623559124880392,0.5142857142857142,70,False,False
0.004611887,1.4230155e-08,0.048238236,0.0023269274,0.0,0.99908495,15.707705356049004,274.3641238002062,-21.373592,-18.067902,14.961673,223.85165,-146.59213,-0.00091552734,-2.417490456378065,9.064994953813905,0.5416666666666666,48,False,False
0.004808203,5.3582054e-09,0.044008028,0.0019367064,0.0,0.99733424,15.36452176366417,278.9327693009498,-21.982391,-19.044636,13.967923,195.10287,-125.50666,-0.0026693344,-1.4703242590063783,3.536068605054263,0.65625,32,False,False
