mean_score,median_score,std_score,var_score,min_score,max_score,valid_count,transform_inlier_ratio
0.003685473,1.1735522e-08,0.034984495,0.001223915,0.0,0.9978856,19,0.631578947368421
0.0040990044,1.080808e-08,0.039189763,0.0015358374,0.0,0.9965822,23,0.8260869565217391
0.004096457,3.7186878e-09,0.040947784,0.001676721,0.0,0.9983129,43,0.6046511627906976
0.004109854,2.8510647e-09,0.040504914,0.0016406481,1e-45,0.99635977,35,0.7142857142857143
0.0041278503,4.3170623e-09,0.039609384,0.0015689033,7.872936e-37,0.99922544,28,0.5357142857142857
0.0041636936,1.2095798e-08,0.044524025,0.0019823888,0.0,0.9991735,51,0.7254901960784313
0.0041441447,4.0892933e-09,0.041453492,0.0017183919,1e-45,0.99645483,39,0.717948717948718
0.0037486034,3.2057768e-09,0.042223178,0.0017827968,0.0,0.9971393,66,0.7424242424242424
0.0038883742,1.4293379e-09,0.045251753,0.0020477213,0.0,0.99774945,72,0.5833333333333334
0.0037918605,5.2277533e-09,0.04307528,0.0018554796,0.0,0.9987157,63,0.7301587301587301
0.0038225148,1.4492266e-09,0.042544734,0.0018100543,0.0,0.9980964,62,0.6612903225806451
0.0033203766,1.7457195e-08,0.03400269,0.0011561831,0.0,0.9984077,26,0.5769230769230769
0.0033718764,7.9002715e-10,0.045272715,0.0020496186,0.0,0.99878484,111,0.7207207207207207
0.0035269689,6.3322836e-10,0.038420934,0.001476168,0.0,0.99857,54,0.7037037037037037
0.0032714638,4.2198475e-10,0.039888967,0.0015911297,0.0,0.9985295,79,0.6455696202531646
0.003197,8.427828e-10,0.042890258,0.0018395742,0.0,0.9995046,107,0.794392523364486
0.0034896864,1.5502744e-09,0.041875143,0.0017535276,0.0,0.9992531,80,0.8125
0.00358236,2.2903182e-09,0.039389756,0.0015515529,0.0,0.99913675,53,0.4528301886792453
0.0036955073,1.1816681e-08,0.039916024,0.0015932891,0.0,0.9990811,56,0.6964285714285714
0.0036281375,4.462221e-09,0.037512794,0.0014072098,3.6e-44,0.998631,45,0.7111111111111111
0.0038238715,7.470629e-09,0.035311878,0.0012469286,0.0,0.9928417,21,0.9047619047619048
0.003902497,1.7741037e-08,0.037908677,0.0014370679,0.0,0.9958758,33,0.5151515151515151
0.00369168,3.2937223e-08,0.035530817,0.0012624388,0.0,0.99619734,26,0.8076923076923077
0.0035767923,3.5829355e-09,0.03938146,0.0015508995,0.0,0.99793893,55,0.7454545454545455
0.003478064,1.9063947e-08,0.03648012,0.0013307993,1.51e-43,0.99459493,38,0.7368421052631579
0.0035551956,2.0425037e-09,0.03967714,0.0015742754,0.0,0.996537,59,0.6949152542372882
0.0035033084,2.1619417e-09,0.033129178,0.0010975425,1.3e-43,0.9919677,28,0.6428571428571429
0.0031142836,1.8516826e-09,0.041037027,0.0016840376,0.0,0.99810207,100,0.53
0.002991019,9.882212e-09,0.032496776,0.0010560405,0.0,0.9955377,40,0.6
0.0030585753,6.6447097e-09,0.032086086,0.0010295169,0.0,0.9966092,33,0.45454545454545453
0.0031809239,1.7945712e-08,0.034227807,0.0011715427,0.0,0.9976824,47,0.40425531914893614
0.003112554,1.8801916e-09,0.039138127,0.0015317929,0.0,0.99894434,85,0.5882352941176471
0.0029942042,2.719187e-09,0.03834479,0.0014703228,0.0,0.9969785,97,0.4020618556701031
0.002956689,3.541642e-09,0.034605402,0.0011975339,0.0,0.9962268,57,0.5263157894736842
0.002972129,2.5304314e-09,0.032660566,0.0010667127,0.0,0.99767864,49,0.7346938775510204
0.0028774324,1.1403503e-09,0.035306685,0.0012465619,0.0,0.999003,71,0.6338028169014085
0.002969735,3.3355505e-09,0.03177649,0.0010097454,2.521e-42,0.9964909,41,0.5609756097560976
0.0030583357,4.8493294e-09,0.032878276,0.001080981,4e-45,0.99700326,38,0.8157894736842105
0.00328239,2.643176e-09,0.03659148,0.0013389365,0.0,0.9974322,55,0.5636363636363636
0.0031732314,1.0300571e-08,0.036412023,0.0013258355,0.0,0.99541,52,0.38461538461538464
0.003238198,7.589221e-09,0.034011014,0.0011567491,0.0,0.9974312,44,0.6136363636363636
0.0032711865,1.7898221e-09,0.038336013,0.0014696497,0.0,0.99698716,61,0.6557377049180327
0.0034099745,9.734331e-09,0.04025453,0.0016204271,0.0,0.9980297,64,0.515625
0.0037052156,3.4242525e-10,0.046080355,0.0021233992,0.0,0.99832386,86,0.45348837209302323
0.0039710887,9.156617e-09,0.047296427,0.002236952,0.0,0.9977547,77,0.5584415584415584
0.0042917626,2.165893e-08,0.041318435,0.0017072132,0.0,0.99844724,32,0.53125
0.0042739906,6.9799917e-09,0.042734176,0.00182621,0.0,0.9965589,43,0.6511627906976745
0.004045345,1.1473235e-08,0.03820431,0.0014595691,2.6937e-41,0.9974945,34,0.7941176470588235
0.003862651,1.0781736e-08,0.036714945,0.0013479871,0.0,0.99440664,25,0.64
0.0036965506,5.2930234e-09,0.043216836,0.0018676948,0.0,0.99746305,75,0.68
0.0035661897,2.9202294e-09,0.039275885,0.0015425951,0.0,0.9972805,52,0.6923076923076923
0.0030632,8.301081e-09,0.03180331,0.0010114505,0.0,0.99755013,35,0.7428571428571429
0.0029304766,8.276789e-09,0.03264625,0.0010657777,1.22857e-40,0.99680126,49,0.6530612244897959
0.002852455,1.4795708e-08,0.027219797,0.0007409173,5.69e-43,0.9912268,14,0.6428571428571429
0.0029987125,3.5753063e-09,0.032259975,0.0010407061,0.0,0.9978556,41,0.6585365853658537
0.0032644023,8.753105e-10,0.035212103,0.0012398921,0.0,0.9969372,51,0.7450980392156863
0.0034862156,9.724288e-10,0.036361866,0.0013221852,0.0,0.9998445,45,0.7777777777777778
0.00359833,6.3549424e-09,0.04257655,0.0018127626,0.0,0.9974973,66,0.6666666666666666
0.0032713185,8.261257e-10,0.03772217,0.001422962,0.0,0.99684644,58,0.7241379310344828
0.003393068,4.4030695e-09,0.03612221,0.0013048141,4.2e-44,0.9985919,38,0.6578947368421053
0.0037494656,4.7766893e-09,0.04090165,0.0016729451,0.0,0.99822396,54,0.7037037037037037
0.0037613653,2.8084976e-08,0.036331393,0.0013199702,0.0,0.9969933,25,0.68
0.0043352777,2.4884887e-09,0.04100217,0.0016811778,0.0,0.99530894,28,0.5357142857142857
0.0044506076,8.064073e-09,0.041447792,0.0017179195,0.0,0.9994375,29,0.5862068965517241
0.0048200563,5.6680616e-09,0.0448762,0.0020138733,0.0,0.99717253,30,0.7
0.0039263926,1.2223915e-08,0.03973835,0.0015791364,1.51e-43,0.99601114,31,0.7096774193548387
0.0037824367,2.621804e-09,0.042037103,0.001767118,0.0,0.9978708,51,0.6666666666666666
0.0041216975,1.0619744e-08,0.035587158,0.0012664458,0.0,0.9970214,12,0.4166666666666667
0.004380238,1.2496385e-08,0.04613661,0.0021285866,0.0,0.996366,48,0.625
0.0046392693,4.9714135e-09,0.044015355,0.0019373517,6.14e-43,0.9984377,38,0.7894736842105263
0.0039826506,9.360244e-09,0.04384633,0.0019225008,0.0,0.997184,53,0.39622641509433965
0.0038232543,1.2930954e-08,0.039199557,0.0015366052,0.0,0.9982634,37,0.5675675675675675
0.0039153164,1.0756748e-08,0.04063805,0.001651451,0.0,0.99747455,41,0.43902439024390244
0.003999715,3.710172e-09,0.046232436,0.0021374382,0.0,0.99953663,73,0.7808219178082192
0.0038264415,1.6234036e-09,0.04663515,0.0021748373,0.0,0.9991077,80,0.4625
0.0032125663,2.7794003e-09,0.028937217,0.0008373625,1.195792e-39,0.99585867,13,0.6923076923076923
0.0029867757,1.0440468e-09,0.037213244,0.0013848256,0.0,0.99866956,77,0.5844155844155844
0.002855191,8.5807725e-09,0.03316583,0.0010999724,0.0,0.99671525,46,0.6086956521739131
0.0032456936,2.5415614e-09,0.04128057,0.0017040855,0.0,0.9991988,82,0.7804878048780488
0.0037274184,1.271625e-09,0.04711841,0.0022201447,0.0,0.99947464,89,0.6404494382022472
0.0038656425,8.773862e-09,0.03896205,0.0015180414,2.41e-43,0.996575,37,0.7297297297297297
0.0038145646,1.2472424e-09,0.04214911,0.0017765478,0.0,0.9983705,51,0.803921568627451
0.0038126218,1.1397593e-08,0.038594253,0.0014895165,0.0,0.995807,38,0.6578947368421053
0.0036516057,2.1598861e-08,0.041314017,0.0017068482,0.0,0.9967172,53,0.1320754716981132
0.003616274,2.6597831e-08,0.037085038,0.0013753,0.0,0.99702656,32,0.21875
0.0035216021,1.5700481e-09,0.038788855,0.0015045751,0.0,0.99929214,52,0.5192307692307693
0.0035778342,1.3300494e-10,0.04416814,0.0019508247,0.0,0.9994208,78,0.46153846153846156
0.003860553,5.1940647e-09,0.03845067,0.0014784539,0.0,0.99692684,36,0.4722222222222222
0.0038402567,2.763862e-08,0.033636227,0.0011313958,2.178144e-37,0.9936193,13,0.5384615384615384
0.0032527882,2.353173e-09,0.03735993,0.0013957643,0.0,0.9961322,49,0.5510204081632653
0.0029096392,7.584177e-09,0.031655803,0.0010020898,8.501667e-38,0.99671614,38,0.8421052631578947
0.0029191633,1.9766573e-09,0.035596125,0.001267084,0.0,0.9956212,71,0.43661971830985913
0.0028907768,2.0816122e-08,0.03378821,0.0011416433,0.0,0.9949445,54,0.5
0.003338766,1.0424301e-09,0.036036897,0.0012986581,0.0,0.99666625,57,0.5087719298245614
0.0033231035,7.404156e-10,0.036671583,0.0013448049,1.05e-43,0.9989382,56,0.625
0.0029758904,1.8164793e-09,0.037119206,0.0013778354,0.0,0.9973399,76,0.6578947368421053
0.0028334458,1.7207694e-09,0.030130524,0.0009078485,1.82624e-40,0.99414724,32,0.75
0.002931319,4.2999218e-10,0.03516855,0.001236827,0.0,0.99748164,71,0.8169014084507042
0.0028424303,1.9881632e-09,0.0343774,0.0011818055,0.0,0.99829817,72,0.6388888888888888
0.0029000172,1.9260715e-09,0.03294459,0.001085346,6.013223e-37,0.99872625,55,0.7090909090909091
0.00319877,2.0487991e-09,0.034877326,0.0012164278,0.0,0.9968212,46,0.5652173913043478
0.0032216527,3.325745e-09,0.034141857,0.0011656665,0.0,0.9940108,40,0.625
0.0033795766,2.2971385e-09,0.038397063,0.0014743345,0.0,0.9972177,58,0.7068965517241379
0.0037051993,3.241796e-10,0.039768964,0.0015815706,0.0,0.9990539,50,0.54
0.0041463743,5.1512457e-09,0.039422106,0.0015541025,3.788758e-39,0.99838823,26,0.46153846153846156
0.0038326592,3.990354e-09,0.044792082,0.0020063308,0.0,0.99723196,74,0.43243243243243246
0.003928675,7.892751e-09,0.040364906,0.0016293257,1e-45,0.99594176,37,0.5135135135135135
0.004349038,1.3259207e-08,0.044532713,0.0019831625,4.621e-42,0.9975963,48,0.7083333333333334
0.0043128007,7.0215807e-09,0.045443736,0.002065133,0.0,0.9955539,53,0.7547169811320755
0.0045460407,3.965407e-09,0.046304993,0.0021441525,0.0,0.99935836,54,0.6481481481481481
0.004879319,1.2051341e-08,0.04828813,0.0023317432,0.0,0.99808395,44,0.6363636363636364
0.0052944124,4.6991794e-08,0.044828348,0.0020095808,0.0,0.99568546,22,0.6818181818181818
0.005608602,1.1786115e-08,0.047897812,0.0022942005,0.0,0.99099284,29,0.5172413793103449
0.004414647,5.7855488e-08,0.041096825,0.0016889491,1.86e-43,0.9945988,27,0.7777777777777778
0.003805295,3.269089e-09,0.03961087,0.001569021,0.0,0.9989557,38,0.631578947368421
0.0038185997,5.9690852e-09,0.04243293,0.0018005536,0.0,0.9968008,65,0.47692307692307695
0.0035864352,3.2704627e-08,0.034249242,0.0011730106,0.0,0.9948719,27,0.5555555555555556
0.0031669592,5.4598344e-09,0.034386452,0.001182428,1e-45,0.9947107,45,0.6666666666666666
0.0028850122,3.5329486e-09,0.030848712,0.000951643,1.493204e-39,0.9974008,39,0.5128205128205128
0.0027820172,1.3605567e-09,0.035551265,0.0012638924,0.0,0.99957573,79,0.6708860759493671
0.0028356751,4.979392e-09,0.029611051,0.00087681436,0.0,0.9964719,27,0.5555555555555556
0.00349259,1.9455726e-09,0.04198295,0.001762568,0.0,0.99865,75,0.5333333333333333
0.0031368567,1.4506454e-09,0.0341444,0.0011658402,6.6712322e-37,0.9968611,47,0.44680851063829785
0.0031493793,1.5206991e-08,0.03198455,0.0010230114,1.0944e-41,0.9949735,27,0.5185185185185185
0.0035853854,3.916728e-09,0.034585543,0.0011961599,2.4853183e-37,0.99339527,20,0.25
0.0034471687,2.8084656e-08,0.03826116,0.0014639165,0.0,0.99892294,48,0.22916666666666666
0.003855595,3.243584e-09,0.04413502,0.0019478999,0.0,0.99915016,63,0.6666666666666666
0.0039514266,1.0278315e-08,0.04296488,0.001845981,0.0,0.99635404,50,0.82
0.0041044718,1.4097e-08,0.042373087,0.0017954784,0.0,0.9979459,48,0.625
0.004111727,8.416217e-09,0.04251741,0.0018077302,0.0,0.99719584,49,0.7755102040816326
0.003774892,9.359473e-10,0.039247658,0.0015403787,0.0,0.9981645,42,0.6190476190476191
0.0036605573,7.777237e-09,0.035875943,0.0012870833,0.0,0.9970137,28,0.6428571428571429
0.004008683,1.8088777e-08,0.03804513,0.0014474321,0.0,0.99751264,27,0.25925925925925924
0.0032597852,1.5639835e-06,0.030569542,0.00093449693,0.0,0.96858317,10,0.2
0.0038840887,3.5668606e-09,0.040133275,0.0016106798,0.0,0.9982001,46,0.717391304347826
0.0038561746,2.4329802e-10,0.049105637,0.0024113636,0.0,0.99931073,98,0.6122448979591837
0.0037210097,2.768521e-10,0.0450607,0.0020304667,0.0,0.99976736,80,0.575
0.003678373,5.290614e-10,0.04312297,0.0018595906,0.0,0.9989362,75,0.6
0.0037002384,2.5265331e-10,0.04758729,0.0022645502,0.0,0.9998622,102,0.49019607843137253
0.0036110822,3.1845002e-10,0.045446254,0.002065362,0.0,0.9984005,90,0.4777777777777778
