mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,mean_score_log,median_score_log,std_score_log,var_score_log,min_score_log,max_score_log,skew_score_log,kurtosis_score_log,transform_inlier_ratio,valid_count
0.004455183,5.8675015e-10,0.050017375,0.002501738,0.0,0.9985891,15.720399645579185,271.1971932865556,-23.664318,-21.256422,13.085381,171.22719,-131.11845,-0.0014119148,-1.2229715578253109,2.545705616282792,0.3974358974358974,78
0.004439816,2.139807e-09,0.04832692,0.0023354914,0.0,0.99907583,15.62201730631439,271.3299932428765,-23.812769,-19.962551,16.416838,269.51254,-165.9582,-0.00092458725,-2.1357263623838625,6.216288207329731,0.639344262295082,61
0.004466506,1.6534793e-08,0.049864326,0.002486451,0.0,0.998771,15.60650381511414,265.94099451057383,-20.819334,-17.917799,14.472412,209.4507,-194.34167,-0.001229763,-3.384532430358407,18.540147729171075,0.5285714285714286,70
0.0043486417,7.1951717e-10,0.052979466,0.002806824,0.0,0.9987738,15.683362743362956,260.86582382034624,-23.831114,-21.05244,13.849422,191.8065,-202.1118,-0.001226902,-1.6775670401497986,5.026782194953617,0.46534653465346537,101
0.004313013,1.3921587e-09,0.052793283,0.002787131,0.0,0.99930507,15.620801031457587,258.4916911662802,-23.945736,-20.39241,16.597948,275.49188,-189.64784,-0.0006952286,-3.1232901893131864,15.838413048097834,0.42,100
0.0044611096,3.1611818e-09,0.05239494,0.00274523,0.0,0.9990577,15.649637338268278,262.1573185004653,-21.531147,-19.572319,12.242845,149.88724,-144.64238,-0.00094270706,-2.384922818314555,11.528504831541328,0.7045454545454546,88
0.0046492857,5.4199756e-09,0.046273783,0.0021412629,0.0,0.9992649,15.60583163739014,276.9469823566893,-21.43048,-19.033175,13.266691,176.0051,-143.95726,-0.0007352829,-2.041473995114956,7.638286785542769,0.6862745098039216,51
0.0044072256,4.045284e-09,0.049543615,0.0024545698,0.0,0.99827915,15.731466332687935,270.679800463782,-22.185593,-19.325714,13.841854,191.59692,-133.71861,-0.0017223358,-2.0573841436839753,6.794389248658629,0.3561643835616438,73
0.00438036,2.0735214e-09,0.04854379,0.0023564994,0.0,0.9986348,15.90480598877836,279.405933235164,-23.049158,-19.994019,14.614984,213.59775,-148.44543,-0.0013661385,-2.1247701495816025,7.359312469371904,0.6266666666666667,75
0.004210813,4.6776614e-09,0.049870085,0.0024870255,0.0,0.9974569,16.174286449944336,281.04389337437243,-22.569345,-19.180468,14.93327,223.00256,-182.62157,-0.0025463104,-2.344610487310565,8.844297758081183,0.5777777777777777,90
0.0043567093,5.259073e-10,0.04509777,0.0020338087,0.0,0.9988224,16.14341030045396,297.10180184033777,-23.434402,-21.365896,13.258709,175.79337,-198.6047,-0.0011782646,-1.3329519577352142,4.812509266235401,0.6909090909090909,55
0.004567665,7.525712e-10,0.04550959,0.0020711229,0.0,0.99630564,15.827069286019848,287.80819397432754,-22.794914,-21.007526,12.453688,155.09435,-117.26194,-0.00370121,-1.129624552497731,2.775402103247581,0.6981132075471698,53
0.004456501,4.4324473e-09,0.049080778,0.0024089226,0.0,0.999042,15.602659698758105,267.2527791686426,-21.717304,-19.234314,13.32064,177.43944,-136.88159,-0.0009584427,-2.134911700362315,8.083497310404455,0.5967741935483871,62
0.0042687138,6.857907e-10,0.042704415,0.0018236671,7.21213e-40,0.9957219,16.066452178279185,301.9425625172128,-22.65141,-21.100449,12.026093,144.6269,-90.12764,-0.004287243,-0.719943515602359,0.5059083521027943,0.5714285714285714,42
0.0042490875,7.5237533e-10,0.053708255,0.0028845766,0.0,0.99955237,15.860043366515304,264.36592242875423,-25.099384,-21.007786,19.960817,398.43423,-282.94193,-0.0004477501,-4.652934133779535,34.44680010759932,0.6491228070175439,114
0.0044018943,8.630642e-10,0.055430464,0.0030725363,0.0,0.9989377,15.402450736102784,249.81238240157285,-25.313107,-20.870533,22.071733,487.16144,-390.3471,-0.00106287,-5.584060169216693,45.77407866717986,0.8348623853211009,109
0.0042300746,3.1618788e-09,0.04950441,0.0024506866,1e-45,0.99674517,16.21586192805228,285.4312366953478,-21.773436,-19.5721,12.1250925,147.01787,-103.69417,-0.0032601357,-1.486564136014423,3.6188159340646378,0.7380952380952381,84
0.0040713088,3.7728548e-10,0.048904244,0.002391625,0.0,0.9983301,16.55882493968453,297.0797899114029,-24.682737,-21.698019,15.223009,231.74,-185.54956,-0.0016713142,-2.0528743085336325,7.941930262234418,0.8255813953488372,86
0.0042493385,4.4302306e-10,0.054038998,0.0029202132,0.0,0.9996776,15.63634549190475,256.7181911346755,-26.09709,-21.5374,18.684431,349.10794,-192.43816,-0.00032234192,-2.7894951806802153,11.161653921643092,0.7068965517241379,116
0.004532147,2.4447782e-09,0.051703684,0.0026732709,0.0,0.99905014,15.479197052238328,259.6984042554216,-22.48105,-19.829311,13.281951,176.41022,-147.09395,-0.00095033646,-1.915194167807139,6.5989541731915775,0.6296296296296297,81
0.0042276965,2.3753866e-09,0.04860062,0.0023620205,0.0,0.99759203,15.816627055945332,273.0226798943427,-22.2406,-19.858105,12.941165,167.47375,-151.91359,-0.0024108887,-1.897700146352971,6.639251245577547,0.647887323943662,71
0.004165196,8.181956e-10,0.046028867,0.0021186566,0.0,0.998891,16.376710103194455,299.02433737955914,-23.245504,-20.92392,13.280581,176.37386,-141.49443,-0.0011096001,-1.418128022674039,3.8482445721938108,0.5074626865671642,67
0.004659821,6.0185235e-09,0.05046716,0.0025469342,0.0,0.9984087,15.15908936299296,253.19428405355183,-21.121302,-18.928425,12.052062,145.2522,-127.49585,-0.0015926361,-1.7666553612618578,5.381944731375214,0.6714285714285714,70
0.004422314,1.1286961e-08,0.04439632,0.001971033,3.2e-44,0.9970955,16.026297417608472,297.32894362204087,-19.70006,-18.299618,10.056695,101.13711,-100.14108,-0.0029087067,-0.8700712158261155,1.2535571324569386,0.6086956521739131,46
0.004414493,2.7198226e-09,0.04865031,0.0023668525,0.0,0.9993326,15.786634748127808,275.44710690387495,-22.718647,-19.722698,14.748861,217.5289,-173.88522,-0.000667572,-2.5016631715769346,10.615584768112146,0.36764705882352944,68
0.0046330895,2.7219478e-09,0.051465135,0.0026486602,0.0,0.9988467,15.505073092043508,261.3648332511665,-21.765863,-19.721918,12.4991045,156.22762,-161.6327,-0.0011539459,-1.93977920422438,8.009106140985303,0.6363636363636364,77
0.004963362,2.2160736e-10,0.048524138,0.002354592,0.0,0.999094,15.337542888237193,267.40282151925356,-24.447403,-22.230114,15.071266,227.14305,-164.26913,-0.00090646744,-1.732877089337327,7.0797943247741095,0.6326530612244898,49
0.0053131212,9.967145e-10,0.05418175,0.002935662,0.0,0.99857956,14.22055804481267,223.4311526044197,-23.852772,-20.726557,14.407126,207.56529,-146.12032,-0.0014214516,-1.5695602882342092,4.223638063772964,0.5178571428571429,56
