,index,mean_score,median_score,std_score,var_score,min_score,max_score,valid_count,transform_inlier_ratio
99,99,0.005138105,8.853488e-10,0.051305503,0.0026322547,0.0,0.9997669,51,0.8235294117647058
100,100,0.0050291875,2.8598495e-09,0.04936772,0.0024371718,4.2891126e-33,0.9967271,52,0.6153846153846154
101,101,0.0049054376,6.257365e-09,0.04792877,0.0022971667,1.692009e-39,0.99864906,50,0.64
102,102,0.0046974597,1.3124275e-09,0.045938786,0.002110372,0.0,0.99692863,45,0.8
103,103,0.0045214286,7.420659e-09,0.047717523,0.0022769622,0.0,0.99831724,57,0.6666666666666666
104,104,0.0041597793,5.627429e-09,0.045551345,0.002074925,0.0,0.99652714,60,0.7
105,105,0.0040803864,2.179688e-09,0.043730967,0.0019123973,0.0,0.99758685,62,0.6935483870967742
106,106,0.0043025175,4.8849262e-09,0.04399253,0.0019353427,0.0,0.9980197,55,0.8181818181818182
107,107,0.004090725,5.500017e-09,0.03865666,0.0014943375,0.0,0.99879056,35,0.6857142857142857
108,108,0.00413809,2.2945628e-08,0.037004516,0.0013693343,0.0,0.99566644,26,0.6923076923076923
109,109,0.003853088,1.4916866e-07,0.033356126,0.0011126312,0.0,0.98530704,14,0.21428571428571427
110,110,0.0036953993,4.424158e-07,0.03425168,0.0011731775,0.0,0.9899972,17,0.29411764705882354
111,111,0.003778383,2.5778601e-09,0.046471164,0.002159569,0.0,0.9992031,90,0.5777777777777777
112,112,0.0038716232,1.6850841e-09,0.04743891,0.0022504502,0.0,0.9991916,92,0.5869565217391305
113,113,0.0044327783,1.1425404e-09,0.051175114,0.0026188921,0.0,0.99971825,77,0.5974025974025974
114,114,0.005317523,1.7473127e-08,0.050333686,0.0025334798,0.0,0.9989457,43,0.37209302325581395
115,115,0.0060204626,4.2687283e-08,0.048605576,0.002362502,0.0,0.99719495,20,0.6
116,116,0.0068091946,2.5634606e-08,0.06206221,0.003851718,0.0,0.9994228,48,0.5833333333333334
117,117,0.006512469,1.9543474e-08,0.05588922,0.003123605,0.0,0.99943507,34,0.4117647058823529
118,118,0.006547219,6.675505e-08,0.05577455,0.0031108004,0.0,0.99561846,33,0.696969696969697
119,119,0.0070589627,1.3967055e-07,0.051888235,0.002692389,0.0,0.9970633,17,0.7647058823529411
120,120,0.006925037,4.170753e-08,0.05885145,0.0034634932,6.3513112e-34,0.99560755,32,0.6875
121,121,0.0062697777,9.877955e-09,0.0577664,0.0033369572,0.0,0.9980483,40,0.625
122,122,0.0064468053,5.591981e-09,0.05859123,0.0034329323,0.0,0.9981202,42,0.5
123,123,0.00592143,4.7640302e-08,0.046287693,0.0021425504,0.0,0.9858583,13,0.38461538461538464
124,124,0.005779827,2.7493247e-08,0.050803132,0.0025809582,1.00752e-39,0.99778515,42,0.6904761904761905
125,125,0.004941026,1.948676e-08,0.04586924,0.0021039871,0.0,0.99671334,32,0.625
126,126,0.004707375,1.5195452e-08,0.039463475,0.0015573659,6.262e-42,0.9915728,23,0.6521739130434783
127,127,0.004902433,2.8386766e-09,0.046957273,0.0022049856,0.0,0.9968725,49,0.5918367346938775
128,128,0.004895159,1.3805861e-09,0.053623926,0.0028755255,0.0,0.9972281,76,0.618421052631579
129,129,0.004734671,1.2608192e-08,0.04547339,0.002067829,1.0751084e-31,0.9911828,44,0.7954545454545454
130,130,0.004691429,5.2715885e-09,0.04574144,0.0020922793,0.0,0.9973518,43,0.46511627906976744
131,131,0.004500166,5.7364398e-09,0.041801073,0.0017473297,4.224e-42,0.9938714,37,0.4594594594594595
132,132,0.004080141,7.205534e-10,0.039224826,0.001538587,1e-45,0.99710315,32,0.6875
133,133,0.003919284,1.000722e-08,0.041469242,0.0017196982,0.0,0.99676657,42,0.35714285714285715
134,134,0.004206689,6.1238454e-09,0.043977864,0.0019340526,4.180423e-37,0.99870527,48,0.5833333333333334
135,135,0.004445784,2.2077886e-09,0.046334792,0.002146913,0.0,0.9984605,55,0.3090909090909091
136,136,0.004483827,3.6891648e-09,0.04671111,0.002181928,8.322e-42,0.9966753,58,0.6379310344827587
137,137,0.0045574987,3.301844e-09,0.04015945,0.0016127812,6.00658e-40,0.99541616,20,0.6
138,138,0.004407643,1.7566508e-09,0.048786454,0.0023801182,1.1740566e-38,0.99661875,65,0.4307692307692308
139,139,0.0044594896,1.9360087e-09,0.04776665,0.0022816528,0.0,0.9985,64,0.421875
140,140,0.0042535956,5.4317733e-09,0.042865567,0.0018374567,0.0,0.99907106,42,0.35714285714285715
141,141,0.0039546113,3.71786e-08,0.041721534,0.0017406862,0.0,0.99882287,42,0.35714285714285715
142,142,0.0040123565,3.301114e-07,0.031602018,0.0009986875,0.0,0.96969646,6,0.3333333333333333
143,143,0.0044780346,2.4829886e-08,0.040510654,0.0016411131,5.723553e-39,0.99732333,32,0.59375
144,144,0.0047011655,1.4923945e-08,0.038933616,0.0015158266,2.9216362e-37,0.98930913,15,0.6
145,145,0.0041667055,2.0524485e-08,0.04455404,0.0019850624,0.0,0.99239206,51,0.47058823529411764
146,146,0.0040720305,7.849769e-09,0.043224394,0.0018683483,0.0,0.9980379,54,0.6296296296296297
147,147,0.004121471,8.348938e-09,0.041229814,0.0016998977,1.5448e-41,0.998672,46,0.5434782608695652
148,148,0.00422368,1.5893793e-08,0.041471273,0.0017198664,2.619e-42,0.9981511,43,0.46511627906976744
149,149,0.0042042374,1.4536256e-09,0.049050406,0.0024059422,0.0,0.99641633,86,0.7325581395348837
150,150,0.0038501583,1.971356e-09,0.045052093,0.002029691,0.0,0.9960909,81,0.5185185185185185
151,151,0.003457036,3.7472967e-09,0.041444223,0.0017176236,0.0,0.9945024,81,0.691358024691358
152,152,0.0033996927,2.1957476e-08,0.038059257,0.001448507,0.0,0.9976081,46,0.6956521739130435
153,153,0.004178025,2.5101397e-08,0.044819813,0.0020088158,0.0,0.99640733,53,0.6792452830188679
154,154,0.0052081207,4.9224225e-09,0.05314255,0.0028241307,0.0,0.9991635,55,0.5636363636363636
155,155,0.005745124,1.48201105e-08,0.04983828,0.0024838538,0.0,0.9995333,29,0.4827586206896552
156,156,0.0067709247,3.3543635e-08,0.05015287,0.0025153104,0.0,0.9916301,18,0.6111111111111112
157,157,0.007122642,4.3567178e-07,0.052168645,0.0027215674,2.684521e-39,0.991779,14,0.7857142857142857
158,158,0.0076672845,9.501442e-08,0.054316916,0.0029503275,6.097188e-36,0.9931822,14,0.6428571428571429
159,159,0.0076459963,9.345207e-08,0.06537923,0.0042744437,2.617254e-34,0.99426967,39,0.48717948717948717
160,160,0.0074180467,1.3104463e-07,0.0560867,0.003145718,1.75791e-40,0.98554957,18,0.3333333333333333
161,161,0.008432338,1.9665652e-08,0.06874813,0.004726305,1.2942e-41,0.9974227,32,0.53125
162,162,0.009603313,7.4503356e-07,0.060753778,0.0036910216,0.0,0.9866813,10,0.5
163,163,0.007660279,4.8086445e-08,0.061542448,0.003787473,0.0,0.9959992,28,0.39285714285714285
164,164,0.006684574,4.785118e-08,0.048871264,0.0023884003,0.0,0.99502045,13,0.6923076923076923
165,165,0.006625907,6.9848927e-09,0.059642382,0.0035572136,0.0,0.99729383,40,0.55
166,166,0.0056180824,5.6402945e-09,0.050331507,0.0025332605,0.0,0.9990982,36,0.3888888888888889
167,167,0.005281613,9.0331975e-10,0.0443154,0.0019638548,3.04e-43,0.9981488,25,0.6
168,168,0.0044320594,8.711945e-09,0.042561293,0.0018114636,0.0,0.9980197,34,0.4411764705882353
169,169,0.004101679,2.417393e-09,0.04419344,0.0019530602,3e-45,0.9980174,53,0.6037735849056604
170,170,0.0040293033,4.30468e-09,0.040375847,0.001630209,3.106894e-33,0.99782044,46,0.6521739130434783
171,171,0.0038896266,3.881484e-09,0.03910623,0.0015292973,0.0,0.9981459,41,0.5609756097560976
172,172,0.004178069,2.0919035e-09,0.04340574,0.0018840584,4.3e-44,0.99706894,50,0.7
173,173,0.004514664,5.979614e-09,0.04645749,0.0021582986,4.826e-42,0.99855626,55,0.5272727272727272
174,174,0.0047568474,1.6125747e-09,0.04872474,0.0023741005,0.0,0.9965793,55,0.5818181818181818
175,175,0.004662935,5.783086e-09,0.04840953,0.0023434826,0.0,0.99826485,51,0.6274509803921569
176,176,0.0039651096,1.5750422e-07,0.041451547,0.0017182309,0.0,0.9961897,39,0.28205128205128205
177,177,0.0042017973,4.196275e-08,0.043484125,0.0018908691,2.5e-44,0.9921948,43,0.2558139534883721
178,178,0.004773214,1.1971196e-08,0.04926072,0.0024266185,0.0,0.9966943,54,0.7037037037037037
