,index,mean_score,median_score,std_score,var_score,min_score,max_score,valid_count,transform_inlier_ratio
116,116,0.003936487,3.2162915e-09,0.04694262,0.0022036096,0.0,0.998085,81,0.24691358024691357
117,117,0.0039769383,1.1552244e-08,0.043266755,0.001872012,0.0,0.9964871,57,0.15789473684210525
118,118,0.004119155,4.232053e-09,0.04512239,0.00203603,0.0,0.9983639,66,0.4090909090909091
119,119,0.0041204807,1.8401397e-09,0.0492459,0.0024251586,0.0,0.9974802,93,0.44086021505376344
120,120,0.003812147,1.8668349e-08,0.042119216,0.0017740284,0.0,0.99692345,60,0.7166666666666667
121,121,0.0038593148,4.9851314e-09,0.04851928,0.0023541206,0.0,0.9993403,106,0.5754716981132075
122,122,0.0040411795,2.3400066e-08,0.05027792,0.002527869,0.0,0.99695337,100,0.63
123,123,0.004154278,1.6372381e-09,0.051019326,0.0026029716,0.0,0.99929595,99,0.35353535353535354
124,124,0.0041467724,4.6640567e-09,0.04509936,0.0020339522,0.0,0.9989434,72,0.3888888888888889
125,125,0.004030714,1.2598438e-09,0.051127214,0.0026139922,0.0,0.9973818,109,0.6972477064220184
126,126,0.0040732683,4.1559165e-09,0.0440174,0.0019375315,0.0,0.99891436,64,0.609375
127,127,0.004145152,3.3843575e-09,0.05255725,0.0027622643,0.0,0.998193,113,0.37168141592920356
128,128,0.004278745,8.765828e-09,0.04260604,0.0018152748,0.0,0.9978756,49,0.673469387755102
129,129,0.0043861796,4.178999e-09,0.046899844,0.0021995953,0.0,0.9977343,65,0.7230769230769231
130,130,0.0041496507,3.1301262e-09,0.050650407,0.0025654635,0.0,0.9979294,101,0.5247524752475248
131,131,0.004001688,1.7951661e-09,0.045122355,0.002036027,0.0,0.99974686,71,0.676056338028169
132,132,0.0041882014,7.2890636e-09,0.050403237,0.0025404864,0.0,0.9977837,96,0.5625
133,133,0.004165194,6.4332015e-09,0.04641431,0.002154288,0.0,0.9965992,62,0.7419354838709677
134,134,0.004039162,8.7499625e-09,0.047139637,0.0022221454,0.0,0.99900204,88,0.6363636363636364
135,135,0.0039492357,1.0477599e-08,0.047208175,0.0022286118,3e-44,0.9968088,88,0.7386363636363636
136,136,0.0039925063,1.6899298e-09,0.051680606,0.0026708848,0.0,0.9996587,118,0.5508474576271186
137,137,0.004038612,3.9505466e-09,0.044047788,0.0019402076,0.0,0.99968624,59,0.711864406779661
138,138,0.004142788,9.9481765e-09,0.045433834,0.0020642334,0.0,0.9982158,66,0.6818181818181818
139,139,0.0041917604,2.83243e-09,0.049438816,0.0024441965,0.0,0.9989167,83,0.6987951807228916
